intent,app,symptom,question_pattern,answer_steps,escalation
pembayaran,DJKI,kode_billing,"berapa lama masa berlaku kode billing","Kode Billing digunakan pada hari yang sama dengan tanggal pembayaran.","Jika ada kendala pembayaran, hubungi call center DJKI 152 atau halodjki@dgip.go.id."
rekomendasi,DJKI,umkm,"surat rekomendasi usaha mikro kecil","Surat Rekomendasi UMK tersedia di: Kementerian Koperasi dan UKM; Kementerian Perindustrian; Kementerian Perdagangan; Dinas Koperasi & UKM; Dinas Perindustrian & Perdagangan (sesuai domisili KTP). Surat wajib memuat: nama dan jabatan penandatangan; nama dan alamat pemohon; label merek; jenis/kelas barang atau jasa. DJKI tidak menerima IUMK atau NIB sebagai pengganti. Satu surat rekomendasi dapat memuat beberapa jenis barang/jasa atau kelas.","Detail format surat: cek panduan di dgip.go.id atau hubungi halodjki@dgip.go.id."
penolakan,DJKI,merek,"lama waktu jawab usulan penolakan merek","Berdasarkan Pasal 24 ayat (3) UU Nomor 20 Tahun 2016 tentang Merek dan Indikasi Geografis, Pemohon atau kuasanya dapat menyampaikan tanggapan tertulis beserta alasan kepada DJKI dalam waktu paling lama 30 (tiga puluh) hari terhitung sejak tanggal pengiriman surat usul penolakan.","Jika melewati batas waktu, konsultasi ke kantor DJKI atau konsultan KI terdaftar."
kelengkapan,DJKI,administratif,"lama waktu melengkapi kekurangan administratif merek","Berdasarkan UU 20/2016 tentang Merek: (1) Untuk permohonan dengan Hak Prioritas: kelengkapan dipenuhi paling lama 3 (tiga) bulan sejak berakhirnya jangka waktu pengajuan; jika tidak dipenuhi permohonan diproses tanpa Hak Prioritas. (2) Untuk surat pemberitahuan kelengkapan: dipenuhi paling lama 2 (dua) bulan sejak tanggal pengiriman surat; jika tidak dipenuhi permohonan dianggap ditarik kembali.","Konfirmasi tenggat dan syarat ke DJKI atau halodjki@dgip.go.id."
pengaduan,DJKI,pelanggaran_ki,"cara mengadukan pelanggaran kekayaan intelektual","Pelanggaran Kekayaan Intelektual dapat dilaporkan dengan mengisi Formulir Pengaduan Tindak Pidana KI pada laman https://pengaduan.dgip.go.id/","Untuk bantuan pengaduan: 152 atau halodjki@dgip.go.id."
penelitian,DJKI,permohonan_data,"surat penelitian wawancara data DJKI","Mahasiswa aktif wajib menyerahkan (softfile): (a) surat pengantar resmi dari kampus kepada Sekretaris DJKI memuat nama; NIM; asal kampus; jurusan; nomor HP; judul penelitian; daftar pertanyaan. (b) Surat Pernyataan Sanggup Menyerahkan Hasil Penelitian (format di dgip.go.id/unduhan). Kirim seluruh permohonan ke email halodjki@dgip.go.id.","Informasi format: dgip.go.id atau halodjki@dgip.go.id."
dokumen,DJKI,perjanjian,"perbedaan surat perjanjian dan surat pengalihan hak","Surat Perjanjian adalah surat kesepakatan antara kedua belah pihak atau lebih. Surat Pengalihan Hak adalah bukti bahwa telah mengalihkan hak (jika Badan Hukum menggunakan Notaris).","Untuk dokumen spesifik KI, konsultasi ke DJKI atau konsultan KI."
magang,DJKI,prakerin,"dokumen magang prakerin DJKI","Siswa/mahasiswa aktif wajib menyerahkan (softfile): (a) surat pengantar resmi dari sekolah/kampus kepada Sekretaris DJKI memuat nama; NISN/NIM; asal sekolah/kampus; jurusan; nomor HP; durasi dan periode magang. (b) curriculum vitae. (c) proposal magang. (d) portfolio (bila ada). Kirim ke email halodjki@dgip.go.id.","Pertanyaan magang: halodjki@dgip.go.id atau 152."
konsultan,DJKI,terdaftar,"data konsultan KI terdaftar DJKI","Informasi Konsultan KI yang terdaftar di DJKI dapat diakses pada https://pdkki.dgip.go.id/pages/index_","Daftar lengkap dan pembaruan data: pdkki.dgip.go.id."
informasi,DJKI,sentra_ki,"apa itu sentra KI","Sentra KI adalah unit kerja yang berfungsi mengelola dan mendayagunakan kekayaan intelektual, sekaligus sebagai pusat informasi dan pelayanan KI.","Info lebih lanjut: https://sentraki.dgip.go.id/pages/index_"
